partido,palabra,n,total,tf,idf,tf_idf
ADN,libertad,19,1270,0.014960629921259842,0,0
ADN,nacional,17,1270,0.013385826771653543,0,0
ADN,democrática,16,1270,0.012598425196850394,0,0
ADN,nacionalista,11,1270,0.008661417322834646,1.3862943611198906,0.012007273993951809
ADN,progreso,11,1270,0.008661417322834646,0.13353139262452257,0.0011565711172202742
ADN,accion,10,1270,0.007874015748031496,1.3862943611198906,0.01091570363086528
ADN,política,10,1270,0.007874015748031496,0,0
ADN,manera,9,1270,0.007086614173228346,0,0
ADN,plan,9,1270,0.007086614173228346,0,0
ADN,principio,9,1270,0.007086614173228346,0.13353139262452257,9.462854595438607e-4
ADN,poder,8,1270,0.006299212598425197,0,0
ADN,adn,7,1270,0.005511811023622047,2.0794415416798357,0.011461488812408544
ADN,ciudadanos,7,1270,0.005511811023622047,0,0
ADN,dr,7,1270,0.005511811023622047,2.0794415416798357,0.011461488812408544
ADN,acción,6,1270,0.004724409448818898,0,0
ADN,debe,6,1270,0.004724409448818898,0,0
ADN,desarrollo,6,1270,0.004724409448818898,0,0
ADN,nación,6,1270,0.004724409448818898,0.13353139262452257,6.308569730292405e-4
ADN,normas,6,1270,0.004724409448818898,0,0
ADN,partido,6,1270,0.004724409448818898,0.28768207245178085,0.001359127901346996
ADN,respeto,6,1270,0.004724409448818898,0,0
ADN,derecho,5,1270,0.003937007874015748,0,0
ADN,económica,5,1270,0.003937007874015748,0,0
ADN,eficiencia,5,1270,0.003937007874015748,0,0
ADN,electoral,5,1270,0.003937007874015748,0.13353139262452257,5.257141441910337e-4
ADN,gobierno,5,1270,0.003937007874015748,0,0
ADN,justicia,5,1270,0.003937007874015748,0,0
ADN,ley,5,1270,0.003937007874015748,0,0
ADN,restablecer,5,1270,0.003937007874015748,0.47000362924573563,0.0018504079891564396
ADN,ser,5,1270,0.003937007874015748,0,0
ADN,administración,4,1270,0.0031496062992125984,0,0
ADN,asimismo,4,1270,0.0031496062992125984,0.13353139262452257,4.20571315352827e-4
ADN,carrera,4,1270,0.0031496062992125984,0.13353139262452257,4.20571315352827e-4
ADN,democrático,4,1270,0.0031496062992125984,0.13353139262452257,4.20571315352827e-4
ADN,derechos,4,1270,0.0031496062992125984,0,0
ADN,elecciones,4,1270,0.0031496062992125984,0,0
ADN,esencial,4,1270,0.0031496062992125984,0.47000362924573563,0.0014803263913251517
ADN,funciones,4,1270,0.0031496062992125984,0,0
ADN,igualdad,4,1270,0.0031496062992125984,0,0
ADN,independiente,4,1270,0.0031496062992125984,0,0
ADN,indispensable,4,1270,0.0031496062992125984,0.47000362924573563,0.0014803263913251517
ADN,iniciativa,4,1270,0.0031496062992125984,0.28768207245178085,9.06085267564664e-4
